"Tax Yr","Cat","EE_Rate","EE_AboveUEL","EE_AboveUAP","ER_Rate","ER_AboveUAP","ER_AboveUST","ER_AboveAUST","ER_AboveUEL","ER NIC Rebate","EE NIC Rebate","ER_RebateToST"
"2003","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2003","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2003","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2003","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2003","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2003","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2003","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2003","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2003","X",0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00
"2004","A",0.11,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2004","B",0.04,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2004","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2004","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2004","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2004","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2004","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2004","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2004","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2004","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2004","X",0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00
"2005","A",0.11,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2005","B",0.04,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2005","C",0.00,0.00,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2005","D",0.09,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2005","E",0.04,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2005","F",0.09,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
"2005","G",0.04,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.00,0.00
"2005","J",0.01,0.01,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2005","L",0.01,0.01,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2005","S",0.01,0.01,0.00,0.11,0.00,0.00,,0.12,0.01,0.01,0.00
