"Tax Yr",Cat,EE_Rate,EE_AboveUEL,EE_AboveUAP,ER_Rate,ER_AboveUAP,ER_AboveUST,ER_AboveAUST,ER_AboveUEL,"ER NIC Rebate","EE NIC Rebate",ER_RebateToST
2008,C,0,0,0,0.128,0,0,,0.128,0,0,0
2008,D,0.094,0.01,0,0.091,0,0,,0.128,0.037,0.016,0
2008,E,0.0485,0.01,0,0.091,0,0,,0.128,0.037,0,0
2008,F,0.094,0.01,0,0.114,0,0,,0.128,0.014,0.016,0
2008,G,0.0485,0.01,0,0.114,0,0,,0.128,0.014,0,0
2008,J,0.01,0.01,0,0.128,0,0,,0.128,0,0,0
2008,L,0.01,0.01,0,0.091,0,0,,0.128,0.037,0.016,0
2008,S,0.01,0.01,0,0.114,0,0,,0.128,0.014,0.016,0
2009,A,0.11,0.01,0.11,0.128,0.128,0,,0.128,0,0,0
2009,B,0.0485,0.01,0.0485,0.128,0.128,0,,0.128,0,0,0
2009,C,0,0,0,0.128,0.128,0,,0.128,0,0,0
2009,D,0.094,0.01,0.11,0.091,0.128,0,,0.128,0.037,0.016,0
2009,E,0.0485,0.01,0.0485,0.091,0.128,0,,0.128,0.037,0,0
2009,F,0.094,0.01,0.11,0.114,0.128,0,,0.128,0.014,0.016,0
2009,G,0.0485,0.01,0.0485,0.114,0.128,0,,0.128,0.014,0,0
2009,J,0.01,0.01,0.01,0.128,0.128,0,,0.128,0,0,0
2009,L,0.01,0.01,0.01,0.091,0.128,0,,0.128,0.037,0.016,0
2009,S,0.01,0.01,0.01,0.114,0.128,0,,0.128,0.014,0.016,0
2010,A,0.11,0.01,0.11,0.128,0.128,0,,0.128,0,0,0
2010,B,0.0485,0.01,0.0485,0.128,0.128,0,,0.128,0,0,0
2010,C,0,0,0,0.128,0.128,0,,0.128,0,0,0
2010,D,0.094,0.01,0.11,0.091,0.128,0,,0.128,0.037,0.016,0
2010,E,0.0485,0.01,0.0485,0.091,0.128,0,,0.128,0.037,0,0
2010,F,0.094,0.01,0.11,0.114,0.128,0,,0.128,0.014,0.016,0
2010,G,0.0485,0.01,0.0485,0.114,0.128,0,,0.128,0.014,0,0
2010,J,0.01,0.01,0.01,0.128,0.128,0,,0.128,0,0,0
2010,L,0.01,0.01,0.01,0.091,0.128,0,,0.128,0.037,0.016,0
2010,S,0.01,0.01,0.01,0.114,0.128,0,,0.128,0.014,0.016,0
2011,A,0.12,0.02,0.12,0.138,0.138,0,,0.138,0,0,0
2011,B,0.0585,0.02,0.0585,0.138,0.138,0,,0.138,0,0,0
2011,C,0,0,0,0.138,0.138,0,,0.138,0,0,0
